Const,tconst,userRating,dateRating
tt3606756,tt3606756,5,2024
tt0455565,tt0455565,8,2024
tt0317705,tt0317705,7,2024
tt21277504,tt21277504,5,2024
tt5027774,tt5027774,7,2024
tt28912758,tt28912758,3,2024
tt11016042,tt11016042,7,2024
tt15239678,tt15239678,6,2024
tt0379786,tt0379786,3,2024
tt1462764,tt1462764,3,2024
tt10167262,tt10167262,5,2024
tt0142688,tt0142688,5,2024
tt0144084,tt0144084,6,2024
tt3253930,tt3253930,6,2024
tt7984734,tt7984734,6,2024
tt16283804,tt16283804,5,2024
tt5592878,tt5592878,6,2024
tt2085059,tt2085059,7,2024
tt5295524,tt5295524,7,2024
tt0259446,tt0259446,7,2024
tt16968450,tt16968450,4,2024
tt1517268,tt1517268,5,2024
tt10478048,tt10478048,7,2024
tt14230458,tt14230458,7,2024
tt17351924,tt17351924,6,2024
tt5221894,tt5221894,8,2024
tt0947798,tt0947798,7,2024
tt4857264,tt4857264,7,2023
tt7137906,tt7137906,8,2023
tt3014212,tt3014212,5,2023
tt3718778,tt3718778,6,2023
tt5687612,tt5687612,7,2023
tt10954984,tt10954984,4,2023
tt6857112,tt6857112,5,2023
tt3032476,tt3032476,7,2023
tt0332280,tt0332280,6,2023
tt0477347,tt0477347,8,2023
tt0060196,tt0060196,6,2023
tt0059578,tt0059578,6,2023
tt10838180,tt10838180,4,2023
tt2582802,tt2582802,8,2023
tt2654430,tt2654430,6,2023
tt11337862,tt11337862,5,2023
tt0494238,tt0494238,7,2023
tt3554046,tt3554046,2,2023
tt0351283,tt0351283,6,2023
tt1139797,tt1139797,5,2023
tt15398776,tt15398776,7,2023
tt5314954,tt5314954,7,2023
tt13600412,tt13600412,6,2023
tt12749596,tt12749596,6,2023
tt8244784,tt8244784,5,2023
tt16156592,tt16156592,7,2023
tt0083866,tt0083866,8,2023
tt16447750,tt16447750,8,2023
tt2380307,tt2380307,8,2023
tt15787870,tt15787870,6,2023
tt1630029,tt1630029,6,2023
tt1675434,tt1675434,10,2023
tt9764362,tt9764362,6,2023
tt10970552,tt10970552,4,2022
tt2911666,tt2911666,5,2022
tt0862856,tt0862856,3,2022
tt0298148,tt0298148,8,2022
tt6763664,tt6763664,6,2022
tt0303461,tt0303461,4,2022
tt2442560,tt2442560,6,2022
tt0058461,tt0058461,5,2022
tt9140560,tt9140560,4,2022
tt0302022,tt0302022,5,2022
tt12618926,tt12618926,7,2022
tt0185906,tt0185906,5,2022
tt3480822,tt3480822,3,2022
tt6468322,tt6468322,4,2022
tt14164730,tt14164730,6,2022
tt1227926,tt1227926,5,2022
tt0386676,tt0386676,9,2022
tt1160419,tt1160419,6,2021
tt4941804,tt4941804,6,2021
tt2096673,tt2096673,6,2021
tt1282022,tt1282022,7,2021
tt6320628,tt6320628,4,2021
tt0264464,tt0264464,5,2021
tt0268978,tt0268978,7,2021
tt4154796,tt4154796,3,2021
tt2356777,tt2356777,7,2021
tt2140553,tt2140553,8,2021
tt4154664,tt4154664,2,2021
tt5095030,tt5095030,2,2021
tt4154756,tt4154756,4,2021
tt2250912,tt2250912,5,2021
tt1825683,tt1825683,4,2021
tt3501632,tt3501632,3,2021
tt1479962,tt1479962,9,2021
tt3896198,tt3896198,3,2021
tt1211837,tt1211837,5,2021
tt3498820,tt3498820,3,2021
tt1856010,tt1856010,6,2021
tt2103188,tt2103188,9,2021
tt3124414,tt3124414,6,2021
tt2493696,tt2493696,6,2021
tt10048342,tt10048342,7,2021
tt8946378,tt8946378,7,2021
tt0050083,tt0050083,5,2020
tt1475582,tt1475582,5,2020
tt0455275,tt0455275,6,2020
tt0477348,tt0477348,5,2020
tt1131748,tt1131748,5,2020
tt2278388,tt2278388,6,2020
tt2267998,tt2267998,7,2020
tt0119217,tt0119217,7,2020
tt0180093,tt0180093,5,2020
tt4881806,tt4881806,3,2020
tt0369610,tt0369610,3,2020
tt0163025,tt0163025,3,2020
tt0119567,tt0119567,3,2020
tt0107290,tt0107290,4,2020
tt1454468,tt1454468,5,2020
tt0208092,tt0208092,6,2020
tt0131409,tt0131409,5,2020
tt1392190,tt1392190,6,2020
tt5613056,tt5613056,7,2020
tt0248808,tt0248808,4,2020
tt2388725,tt2388725,8,2020
tt1568843,tt1568843,2,2020
tt0089530,tt0089530,2,2020
tt0097165,tt0097165,6,2020
tt1245492,tt1245492,6,2020
tt3659388,tt3659388,5,2020
tt8772262,tt8772262,6,2020
tt5052448,tt5052448,7,2020
tt7131622,tt7131622,4,2020
tt1398426,tt1398426,7,2020
tt0478087,tt0478087,6,2020
tt0411008,tt0411008,8,2020
tt5753856,tt5753856,7,2020
tt0082694,tt0082694,4,2020
tt0079501,tt0079501,3,2020
tt1979376,tt1979376,5,2020
tt3473654,tt3473654,7,2020
tt2446040,tt2446040,6,2020
tt2340678,tt2340678,5,2020
tt2033372,tt2033372,4,2020
tt1850374,tt1850374,4,2020
tt0435761,tt0435761,8,2020
tt0120363,tt0120363,8,2020
tt0114709,tt0114709,9,2020
tt0367882,tt0367882,4,2020
tt0097576,tt0097576,4,2020
tt0087469,tt0087469,3,2020
tt0082971,tt0082971,4,2020
tt5606664,tt5606664,5,2020
tt0081505,tt0081505,8,2020
tt5463162,tt5463162,3,2020
tt1431045,tt1431045,4,2020
tt0338013,tt0338013,4,2020
tt0073486,tt0073486,5,2020
tt0460649,tt0460649,7,2020
tt3874598,tt3874598,3,2020
tt0167404,tt0167404,6,2020
tt0105236,tt0105236,4,2020
tt0120382,tt0120382,9,2020
tt1049413,tt1049413,7,2020
tt0318403,tt0318403,5,2020
tt0120131,tt0120131,4,2020
tt0110357,tt0110357,5,2020
tt2277860,tt2277860,6,2020
tt8420184,tt8420184,8,2020
tt0266543,tt0266543,6,2020
tt0112573,tt0112573,5,2020
tt0114814,tt0114814,7,2020
tt0910970,tt0910970,6,2020
tt6450804,tt6450804,2,2020
tt1340138,tt1340138,3,2020
tt0438488,tt0438488,4,2020
tt0181852,tt0181852,4,2020
tt0103064,tt0103064,6,2020
tt0088247,tt0088247,5,2020
tt0378194,tt0378194,5,2020
tt0266697,tt0266697,6,2020
tt0099685,tt0099685,6,2020
tt0110413,tt0110413,8,2020
tt1790809,tt1790809,4,2020
tt2092452,tt2092452,3,2020
tt1298650,tt1298650,4,2020
tt0449088,tt0449088,5,2020
tt0383574,tt0383574,5,2020
tt0434409,tt0434409,8,2020
tt6751668,tt6751668,9,2020
tt0099088,tt0099088,5,2020
tt0096874,tt0096874,7,2020
tt0088763,tt0088763,6,2020
tt0120338,tt0120338,6,2020
tt0110912,tt0110912,6,2020
tt0478970,tt0478970,4,2020
tt2395427,tt2395427,5,2020
tt2015381,tt2015381,6,2020
tt1843866,tt1843866,6,2020
tt1981115,tt1981115,4,2020
tt7115920,tt7115920,8,2020
tt1300854,tt1300854,4,2020
tt0499549,tt0499549,6,2020
tt0993846,tt0993846,8,2020
tt2935510,tt2935510,4,2020
tt0800369,tt0800369,4,2020
tt0120815,tt0120815,6,2020
tt2527338,tt2527338,5,2020
tt8406744,tt8406744,5,2020
tt2527336,tt2527336,5,2020
tt2488496,tt2488496,6,2020
tt8228288,tt8228288,7,2020
tt0121766,tt0121766,6,2020
tt0121765,tt0121765,5,2020
tt0245712,tt0245712,6,2020
tt0120915,tt0120915,6,2020
tt2106476,tt2106476,8,2020
tt0472043,tt0472043,6,2020
tt0405094,tt0405094,8,2020
tt0086190,tt0086190,6,2020
tt0130827,tt0130827,7,2020
tt7937168,tt7937168,6,2020
tt0080684,tt0080684,6,2020
tt0076759,tt0076759,7,2020
tt0361748,tt0361748,8,2020
tt0367959,tt0367959,6,2020
tt1577790,tt1577790,6,2020
tt0289765,tt0289765,6,2020
tt0120586,tt0120586,9,2020
tt0212985,tt0212985,7,2020
tt0102926,tt0102926,6,2020
tt0325980,tt0325980,7,2020
tt0091474,tt0091474,5,2020
tt0848228,tt0848228,6,2020
tt0108052,tt0108052,9,2020
tt0482571,tt0482571,7,2020
tt0209144,tt0209144,7,2020
tt1130884,tt1130884,8,2020
tt0169547,tt0169547,8,2020
tt8579674,tt8579674,8,2020
tt0458339,tt0458339,5,2020
tt0773262,tt0773262,7,2020
tt0292518,tt0292518,5,2020
tt0120689,tt0120689,6,2020
tt3472226,tt3472226,6,2020
tt1228705,tt1228705,5,2020
tt2310332,tt2310332,5,2020
tt1170358,tt1170358,6,2020
tt0903624,tt0903624,6,2020
tt0328832,tt0328832,6,2020
tt0371746,tt0371746,5,2020
tt0800080,tt0800080,5,2020
tt0407887,tt0407887,7,2020
tt0898266,tt0898266,8,2020
tt0172495,tt0172495,8,2019
tt1853728,tt1853728,7,2019
tt0114369,tt0114369,8,2019
tt0816692,tt0816692,8,2019
tt0099674,tt0099674,7,2019
tt0071562,tt0071562,7,2019
tt0068646,tt0068646,7,2019
tt0167260,tt0167260,8,2019
tt0167261,tt0167261,7,2019
tt0120737,tt0120737,6,2019
tt0242653,tt0242653,7,2019
tt0234215,tt0234215,5,2019
tt0133093,tt0133093,8,2019
tt0137523,tt0137523,8,2019
tt0109830,tt0109830,10,2019
tt9243946,tt9243946,6,2019
tt7286456,tt7286456,10,2019
tt1375666,tt1375666,10,2019
tt0108778,tt0108778,9,2019
tt1345836,tt1345836,8,2019
tt0468569,tt0468569,9,2019
tt0372784,tt0372784,8,2019
tt7366338,tt7366338,8,2019
tt2707408,tt2707408,9,2019
tt0111161,tt0111161,10,2019
tt0944947,tt0944947,9,2019
tt0903747,tt0903747,10,2019
